Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
06,B1 & Below,30 & Below,61.28,93.19,311.17,2025Q1
06,B1 & Below,>30 - 100,83.48,234.24,283.19,2025Q1
06,B1 & Below,>100 - 300,53.82,54.28,129.17,2025Q1
06,B1 & Below,>300,66.39,68.19,96.69,2025Q1
06,Level 1,>30 - 100,96.73,125.45,318.08,2025Q1
06,Level 1,>100 - 300,121.10,150.86,178.07,2025Q1
06,Level 2 & 3,30 & Below,75.27,84.00,100.00,2025Q1
06,Level 2 & 3,>30 - 100,55.48,67.58,102.66,2025Q1
06,Level 2 & 3,>100 - 300,85.54,140.90,203.14,2025Q1
06,Level 4 & Above,30 & Below,81.93,88.20,93.53,2025Q1
06,Level 4 & Above,>30 - 100,72.76,83.31,91.17,2025Q1
06,B1 & Below,30 & Below,80.00,163.40,365.39,2025Q2
06,B1 & Below,>30 - 100,93.84,200.52,250.48,2025Q2
06,B1 & Below,>100 - 300,128.09,131.72,207.64,2025Q2
06,Level 1,30 & Below,64.52,108.49,165.56,2025Q2
06,Level 1,>30 - 100,113.12,160.73,334.10,2025Q2
06,Level 1,>100 - 300,137.75,290.83,352.73,2025Q2
06,Level 2 & 3,30 & Below,82.76,90.00,164.73,2025Q2
06,Level 2 & 3,>30 - 100,72.37,97.72,189.75,2025Q2
06,Level 2 & 3,>100 - 300,135.85,174.40,180.40,2025Q2
06,Level 4 & Above,30 & Below,72.72,76.39,93.16,2025Q2
06,Level 4 & Above,>30 - 100,70.24,75.00,112.16,2025Q2
07,B1 & Below,30 & Below,54.77,76.21,110.83,2021Q1
07,B1 & Below,>30 - 100,46.09,56.87,75.13,2021Q1
07,Level 1,30 & Below,75.44,117.74,201.04,2021Q1
07,Level 1,>30 - 100,64.63,86.06,105.00,2021Q1
07,Level 1,>100 - 300,75.40,123.64,237.03,2021Q1
07,Level 2 & 3,30 & Below,50.00,85.19,182.58,2021Q1
07,Level 2 & 3,>30 - 100,43.37,60.26,87.55,2021Q1
07,Level 2 & 3,>100 - 300,70.18,91.12,115.28,2021Q1
07,Level 2 & 3,>300,67.42,81.01,93.61,2021Q1
07,Level 4 & Above,30 & Below,31.81,52.19,94.54,2021Q1
07,Level 4 & Above,>30 - 100,47.37,64.10,90.32,2021Q1
07,Level 4 & Above,>100 - 300,41.79,53.82,89.53,2021Q1
07,Level 4 & Above,>300,31.58,41.55,72.73,2021Q1
07,B1 & Below,30 & Below,43.11,44.44,65.22,2021Q2
07,B1 & Below,>30 - 100,48.43,59.69,116.72,2021Q2
07,Level 1,30 & Below,74.07,104.17,157.33,2021Q2
07,Level 1,>30 - 100,68.17,90.06,130.51,2021Q2
07,Level 1,>100 - 300,86.61,118.40,162.60,2021Q2
07,Level 2 & 3,30 & Below,46.72,75.16,173.28,2021Q2
07,Level 2 & 3,>30 - 100,50.00,73.75,99.48,2021Q2
07,Level 4 & Above,30 & Below,37.93,47.37,72.00,2021Q2
07,Level 4 & Above,>30 - 100,35.86,52.80,77.78,2021Q2
07,Level 4 & Above,>100 - 300,83.68,112.82,131.93,2021Q2
07,Level 4 & Above,>300,76.60,109.56,115.52,2021Q2
07,B1 & Below,30 & Below,43.41,66.25,269.19,2021Q3
07,B1 & Below,>30 - 100,47.19,50.29,70.31,2021Q3
07,B1 & Below,>100 - 300,25.40,30.67,75.00,2021Q3
07,Level 1,30 & Below,78.36,100.00,164.29,2021Q3
07,Level 1,>30 - 100,63.35,82.54,123.97,2021Q3
07,Level 1,>100 - 300,61.72,125.57,163.42,2021Q3
07,Level 2 & 3,30 & Below,39.90,50.86,69.02,2021Q3
07,Level 2 & 3,>30 - 100,35.81,58.54,102.70,2021Q3
07,Level 2 & 3,>100 - 300,32.50,52.71,91.14,2021Q3
07,Level 4 & Above,30 & Below,38.16,57.38,85.92,2021Q3
07,Level 4 & Above,>30 - 100,41.00,64.25,91.07,2021Q3
07,Level 4 & Above,>100 - 300,38.45,43.20,77.62,2021Q3
07,B1 & Below,30 & Below,50.00,69.57,137.50,2021Q4
07,B1 & Below,>30 - 100,51.23,57.92,92.59,2021Q4
07,B1 & Below,>100 - 300,21.53,27.17,40.50,2021Q4
07,Level 1,30 & Below,64.00,83.33,119.05,2021Q4
07,Level 1,>30 - 100,64.15,79.57,128.10,2021Q4
07,Level 1,>100 - 300,45.80,78.11,116.76,2021Q4
07,Level 1,>300,136.65,167.80,193.96,2021Q4
07,Level 2 & 3,30 & Below,43.84,57.14,77.19,2021Q4
07,Level 2 & 3,>30 - 100,39.49,56.73,83.87,2021Q4
07,Level 2 & 3,>100 - 300,24.86,49.11,92.88,2021Q4
07,Level 4 & Above,30 & Below,35.82,47.37,60.37,2021Q4
07,Level 4 & Above,>30 - 100,36.24,57.17,91.90,2021Q4
07,Level 4 & Above,>100 - 300,57.69,61.42,80.46,2021Q4
07,B1 & Below,30 & Below,49.34,65.63,102.04,2022Q1
07,B1 & Below,>30 - 100,54.68,59.60,65.27,2022Q1
07,Level 1,30 & Below,62.84,105.96,126.00,2022Q1
07,Level 1,>30 - 100,90.10,108.13,135.61,2022Q1
07,Level 1,>100 - 300,58.82,86.64,251.57,2022Q1
07,Level 1,>300,95.06,117.75,119.51,2022Q1
07,Level 2 & 3,30 & Below,44.83,59.37,95.00,2022Q1
07,Level 2 & 3,>30 - 100,39.18,53.33,82.59,2022Q1
07,Level 2 & 3,>100 - 300,43.10,53.81,170.48,2022Q1
07,Level 2 & 3,>300,64.24,83.72,88.01,2022Q1
07,Level 4 & Above,30 & Below,37.16,53.70,67.63,2022Q1
07,Level 4 & Above,>30 - 100,45.10,56.33,79.58,2022Q1
07,Level 4 & Above,>100 - 300,37.58,41.08,45.30,2022Q1
07,B1 & Below,30 & Below,38.18,43.33,55.56,2022Q2
07,B1 & Below,>30 - 100,51.66,69.44,113.35,2022Q2
07,B1 & Below,>100 - 300,59.44,88.98,306.89,2022Q2
07,Level 1,30 & Below,72.41,104.50,140.74,2022Q2
07,Level 1,>30 - 100,62.50,108.11,159.09,2022Q2
07,Level 1,>100 - 300,56.91,91.09,147.80,2022Q2
07,Level 1,>300,59.42,86.42,141.30,2022Q2
07,Level 2 & 3,30 & Below,44.44,66.67,186.50,2022Q2
07,Level 2 & 3,>30 - 100,42.68,66.67,88.60,2022Q2
07,Level 2 & 3,>100 - 300,61.97,66.75,178.92,2022Q2
07,Level 4 & Above,30 & Below,35.65,43.74,76.19,2022Q2
07,Level 4 & Above,>30 - 100,40.42,47.37,82.94,2022Q2
07,Level 4 & Above,>100 - 300,43.34,76.87,131.21,2022Q2
07,Level 4 & Above,>300,26.84,32.00,60.28,2022Q2
07,B1 & Below,30 & Below,54.18,89.14,166.32,2022Q3
07,B1 & Below,>30 - 100,61.28,68.98,88.28,2022Q3
07,B1 & Below,>100 - 300,75.88,85.43,208.94,2022Q3
07,Level 1,30 & Below,75.37,106.48,155.98,2022Q3
07,Level 1,>30 - 100,73.10,91.07,141.63,2022Q3
07,Level 1,>100 - 300,45.73,118.51,275.24,2022Q3
07,Level 1,>300,117.94,171.30,174.80,2022Q3
07,Level 2 & 3,30 & Below,45.56,64.17,115.08,2022Q3
07,Level 2 & 3,>30 - 100,42.02,71.11,117.18,2022Q3
07,Level 2 & 3,>100 - 300,75.96,141.40,212.58,2022Q3
07,Level 4 & Above,30 & Below,47.01,64.00,89.87,2022Q3
07,Level 4 & Above,>30 - 100,36.76,45.12,72.73,2022Q3
07,Level 4 & Above,>100 - 300,44.13,82.24,111.34,2022Q3
07,B1 & Below,30 & Below,48.28,152.56,503.85,2022Q4
07,B1 & Below,>30 - 100,69.44,75.00,112.87,2022Q4
07,B1 & Below,>100 - 300,67.86,90.67,137.04,2022Q4
07,Level 1,30 & Below,81.63,183.30,327.44,2022Q4
07,Level 1,>30 - 100,69.95,101.26,165.58,2022Q4
07,Level 1,>100 - 300,57.63,144.64,184.95,2022Q4
07,Level 2 & 3,30 & Below,61.11,100.00,197.07,2022Q4
07,Level 2 & 3,>30 - 100,42.35,57.78,95.22,2022Q4
07,Level 2 & 3,>100 - 300,57.38,86.17,189.73,2022Q4
07,Level 4 & Above,30 & Below,44.27,55.56,67.50,2022Q4
07,Level 4 & Above,>30 - 100,42.76,53.13,97.98,2022Q4
07,Level 4 & Above,>100 - 300,39.68,61.35,88.21,2022Q4
07,B1 & Below,30 & Below,49.07,62.75,66.56,2023Q1
07,B1 & Below,>30 - 100,58.55,67.62,95.93,2023Q1
07,B1 & Below,>100 - 300,45.96,55.18,61.04,2023Q1
07,Level 1,30 & Below,83.33,128.29,182.17,2023Q1
07,Level 1,>30 - 100,74.54,102.16,152.77,2023Q1
07,Level 1,>100 - 300,78.20,157.81,166.33,2023Q1
07,Level 1,>300,60.44,86.11,93.11,2023Q1
07,Level 2 & 3,30 & Below,71.17,164.35,216.26,2023Q1
07,Level 2 & 3,>30 - 100,50.00,71.43,111.76,2023Q1
07,Level 2 & 3,>100 - 300,64.36,73.15,141.17,2023Q1
07,Level 4 & Above,30 & Below,66.01,86.61,111.78,2023Q1
07,Level 4 & Above,>30 - 100,49.42,60.00,70.44,2023Q1
07,Level 4 & Above,>100 - 300,48.83,63.27,83.32,2023Q1
07,B1 & Below,30 & Below,71.58,98.61,364.86,2023Q2
07,B1 & Below,>30 - 100,81.29,86.09,172.56,2023Q2
07,B1 & Below,>100 - 300,66.39,82.37,88.51,2023Q2
07,Level 1,30 & Below,66.94,113.33,173.18,2023Q2
07,Level 1,>30 - 100,96.00,140.99,222.66,2023Q2
07,Level 1,>100 - 300,133.89,164.11,272.97,2023Q2
07,Level 1,>300,54.70,98.62,145.26,2023Q2
07,Level 2 & 3,30 & Below,128.00,203.80,247.60,2023Q2
07,Level 2 & 3,>30 - 100,65.79,95.89,161.29,2023Q2
07,Level 2 & 3,>100 - 300,75.02,75.76,103.41,2023Q2
07,Level 4 & Above,30 & Below,52.48,62.70,89.85,2023Q2
07,Level 4 & Above,>30 - 100,55.56,84.88,124.08,2023Q2
07,B1 & Below,30 & Below,47.94,58.82,73.53,2023Q3
07,B1 & Below,>30 - 100,80.00,84.21,104.73,2023Q3
07,Level 1,30 & Below,82.17,96.29,157.78,2023Q3
07,Level 1,>30 - 100,77.57,119.05,154.33,2023Q3
07,Level 1,>100 - 300,67.74,147.34,201.97,2023Q3
07,Level 1,>300,71.91,105.49,134.87,2023Q3
07,Level 2 & 3,30 & Below,71.07,90.83,155.23,2023Q3
07,Level 2 & 3,>30 - 100,75.49,100.00,120.95,2023Q3
07,Level 2 & 3,>100 - 300,60.05,141.03,164.57,2023Q3
07,Level 4 & Above,30 & Below,53.24,90.91,122.65,2023Q3
07,Level 4 & Above,>30 - 100,56.08,83.33,120.61,2023Q3
07,B1 & Below,30 & Below,56.67,70.59,78.57,2023Q4
07,B1 & Below,>30 - 100,69.21,81.65,117.08,2023Q4
07,B1 & Below,>100 - 300,50.20,86.63,124.13,2023Q4
07,Level 1,30 & Below,80.71,115.79,158.33,2023Q4
07,Level 1,>30 - 100,85.55,146.75,203.25,2023Q4
07,Level 1,>100 - 300,93.46,184.62,239.03,2023Q4
07,Level 1,>300,52.01,66.17,83.42,2023Q4
07,Level 2 & 3,30 & Below,77.32,123.81,197.37,2023Q4
07,Level 2 & 3,>30 - 100,60.22,86.54,115.32,2023Q4
07,Level 2 & 3,>100 - 300,79.91,97.48,172.44,2023Q4
07,Level 4 & Above,30 & Below,53.47,65.34,121.75,2023Q4
07,Level 4 & Above,>30 - 100,53.21,77.78,96.44,2023Q4
07,Level 4 & Above,>100 - 300,47.96,71.44,115.91,2023Q4
07,B1 & Below,30 & Below,69.85,111.11,144.35,2024Q1
07,B1 & Below,>30 - 100,71.43,76.92,85.11,2024Q1
07,B1 & Below,>100 - 300,90.25,107.63,154.42,2024Q1
07,Level 1,30 & Below,81.35,110.31,182.74,2024Q1
07,Level 1,>30 - 100,92.59,117.02,180.90,2024Q1
07,Level 1,>100 - 300,94.60,126.82,190.97,2024Q1
07,Level 1,>300,80.38,89.34,99.84,2024Q1
07,Level 2 & 3,30 & Below,65.31,89.29,134.63,2024Q1
07,Level 2 & 3,>30 - 100,62.31,78.95,103.32,2024Q1
07,Level 4 & Above,30 & Below,55.87,64.96,116.75,2024Q1
07,Level 4 & Above,>30 - 100,54.43,65.93,93.89,2024Q1
07,Level 4 & Above,>100 - 300,56.66,59.51,83.15,2024Q1
07,B1 & Below,30 & Below,86.96,114.58,218.29,2024Q2
07,B1 & Below,>30 - 100,70.24,85.54,117.28,2024Q2
07,B1 & Below,>100 - 300,47.47,67.59,112.17,2024Q2
07,B1 & Below,>300,58.80,83.72,83.83,2024Q2
07,Level 1,30 & Below,104.28,158.33,199.92,2024Q2
07,Level 1,>30 - 100,85.26,126.27,161.38,2024Q2
07,Level 1,>100 - 300,136.02,199.44,260.01,2024Q2
07,Level 1,>300,91.84,100.79,117.57,2024Q2
07,Level 2 & 3,30 & Below,75.25,110.36,190.71,2024Q2
07,Level 2 & 3,>30 - 100,59.21,82.26,121.21,2024Q2
07,Level 2 & 3,>100 - 300,81.28,101.40,139.10,2024Q2
07,Level 2 & 3,>300,97.09,97.09,110.00,2024Q2
07,Level 4 & Above,30 & Below,57.14,65.79,90.00,2024Q2
07,Level 4 & Above,>30 - 100,46.16,63.10,110.84,2024Q2
07,Level 4 & Above,>100 - 300,105.40,129.20,175.77,2024Q2
07,Level 4 & Above,>300,60.52,60.53,103.51,2024Q2
07,B1 & Below,30 & Below,55.07,65.69,78.43,2024Q3
07,B1 & Below,>30 - 100,68.18,70.97,77.06,2024Q3
07,B1 & Below,>100 - 300,51.99,53.36,76.55,2024Q3
07,B1 & Below,>300,45.87,70.11,83.72,2024Q3
07,Level 1,30 & Below,88.20,125.35,169.05,2024Q3
07,Level 1,>30 - 100,89.74,123.15,161.29,2024Q3
07,Level 1,>100 - 300,89.39,129.73,193.54,2024Q3
07,Level 1,>300,107.03,159.44,168.68,2024Q3
07,Level 2 & 3,30 & Below,61.44,90.00,127.45,2024Q3
07,Level 2 & 3,>30 - 100,56.25,92.45,117.34,2024Q3
07,Level 2 & 3,>100 - 300,44.25,106.77,186.13,2024Q3
07,Level 2 & 3,>300,65.93,101.63,150.38,2024Q3
07,Level 4 & Above,30 & Below,60.87,110.53,163.04,2024Q3
07,Level 4 & Above,>30 - 100,41.94,51.32,60.58,2024Q3
07,B1 & Below,30 & Below,72.08,121.16,137.85,2024Q4
07,B1 & Below,>30 - 100,68.71,81.25,94.58,2024Q4
07,Level 1,30 & Below,78.44,104.68,166.10,2024Q4
07,Level 1,>30 - 100,79.65,95.92,128.31,2024Q4
07,Level 1,>100 - 300,99.17,116.73,177.57,2024Q4
07,Level 2 & 3,30 & Below,72.73,86.33,118.52,2024Q4
07,Level 2 & 3,>30 - 100,57.89,81.08,112.90,2024Q4
07,Level 2 & 3,>100 - 300,63.69,93.06,96.35,2024Q4
07,Level 4 & Above,30 & Below,69.23,86.67,107.69,2024Q4
07,Level 4 & Above,>30 - 100,55.79,77.33,97.86,2024Q4
07,B1 & Below,30 & Below,69.89,98.36,117.65,2025Q1
07,B1 & Below,>30 - 100,62.89,68.75,74.72,2025Q1
07,B1 & Below,>100 - 300,55.61,100.79,197.40,2025Q1
07,Level 1,30 & Below,91.53,123.08,208.33,2025Q1
07,Level 1,>30 - 100,89.36,107.57,151.16,2025Q1
07,Level 1,>100 - 300,59.74,176.22,216.67,2025Q1
07,Level 1,>300,76.14,79.06,105.92,2025Q1
07,Level 2 & 3,30 & Below,61.83,93.64,132.09,2025Q1
07,Level 2 & 3,>30 - 100,62.01,79.00,106.72,2025Q1
07,Level 4 & Above,30 & Below,42.56,70.97,85.12,2025Q1
07,Level 4 & Above,>30 - 100,52.88,60.26,97.97,2025Q1
07,B1 & Below,30 & Below,61.60,100.54,497.77,2025Q2
07,B1 & Below,>30 - 100,67.04,74.74,82.87,2025Q2
07,Level 1,30 & Below,97.12,128.07,192.06,2025Q2
07,Level 1,>30 - 100,96.46,119.83,181.32,2025Q2
07,Level 1,>100 - 300,84.96,151.01,218.69,2025Q2
07,Level 1,>300,85.92,99.52,101.18,2025Q2
07,Level 2 & 3,30 & Below,66.67,88.46,106.38,2025Q2
07,Level 2 & 3,>30 - 100,66.45,91.18,120.78,2025Q2
07,Level 2 & 3,>100 - 300,67.14,106.38,166.79,2025Q2
07,Level 4 & Above,30 & Below,68.53,111.11,129.92,2025Q2
07,Level 4 & Above,>30 - 100,58.87,80.73,108.96,2025Q2
07,Level 4 & Above,>100 - 300,61.57,111.34,152.45,2025Q2
08,Level 1,30 & Below,63.64,73.33,77.68,2021Q1
08,Level 1,>30 - 100,59.89,68.29,75.76,2021Q1
08,Level 2 & 3,30 & Below,45.73,48.08,65.00,2021Q1
08,Level 2 & 3,>30 - 100,36.00,44.06,44.87,2021Q1
08,Level 2 & 3,>100 - 300,84.13,89.32,109.02,2021Q1
08,B1 & Below,30 & Below,215.34,215.50,223.20,2021Q2
08,Level 1,30 & Below,60.80,81.82,108.76,2021Q2
08,Level 1,>30 - 100,57.42,64.27,99.74,2021Q2
08,Level 1,>100 - 300,64.05,71.03,121.42,2021Q2
08,Level 2 & 3,30 & Below,44.64,45.00,57.14,2021Q2
08,Level 2 & 3,>30 - 100,42.84,46.43,91.56,2021Q2
08,Level 2 & 3,>100 - 300,45.41,76.94,109.39,2021Q2
08,Level 4 & Above,>30 - 100,54.70,75.76,98.07,2021Q2
08,Level 4 & Above,>100 - 300,76.14,76.93,89.37,2021Q2
08,B1 & Below,30 & Below,228.72,255.56,306.82,2021Q3
08,B1 & Below,>30 - 100,81.46,234.89,310.62,2021Q3
08,B1 & Below,>100 - 300,90.42,104.60,143.77,2021Q3
08,Level 1,30 & Below,68.54,90.05,135.65,2021Q3
08,Level 1,>30 - 100,59.41,65.55,77.65,2021Q3
08,Level 1,>100 - 300,60.74,62.42,125.72,2021Q3
08,Level 2 & 3,30 & Below,44.52,55.56,56.75,2021Q3
08,Level 2 & 3,>30 - 100,37.85,63.01,145.24,2021Q3
08,Level 2 & 3,>100 - 300,80.11,91.92,121.03,2021Q3
08,B1 & Below,30 & Below,172.79,292.00,468.58,2021Q4
08,B1 & Below,>100 - 300,144.44,157.83,171.36,2021Q4
08,Level 1,30 & Below,64.70,93.83,114.29,2021Q4
08,Level 1,>30 - 100,71.43,86.00,121.28,2021Q4
08,Level 1,>100 - 300,54.80,66.67,90.10,2021Q4
08,Level 2 & 3,30 & Below,33.33,38.89,53.85,2021Q4
08,Level 2 & 3,>30 - 100,45.91,55.81,75.41,2021Q4
08,Level 2 & 3,>100 - 300,102.98,123.66,142.89,2021Q4
08,B1 & Below,30 & Below,172.80,178.93,303.24,2022Q1
08,Level 1,30 & Below,58.62,65.22,95.65,2022Q1
08,Level 1,>30 - 100,57.06,78.08,154.81,2022Q1
08,Level 1,>100 - 300,89.97,102.27,110.35,2022Q1
08,Level 2 & 3,>30 - 100,45.91,70.74,118.36,2022Q1
08,B1 & Below,30 & Below,50.64,210.35,392.40,2022Q2
08,B1 & Below,>30 - 100,78.00,107.65,192.57,2022Q2
08,Level 1,30 & Below,93.28,100.00,125.34,2022Q2
08,Level 1,>30 - 100,62.62,79.85,123.46,2022Q2
08,Level 2 & 3,30 & Below,47.22,53.82,59.94,2022Q2
08,Level 2 & 3,>30 - 100,41.67,50.00,53.49,2022Q2
08,Level 2 & 3,>100 - 300,118.57,135.92,138.66,2022Q2
08,Level 4 & Above,>30 - 100,72.74,77.49,87.66,2022Q2
08,Level 4 & Above,>100 - 300,67.80,76.44,87.67,2022Q2
08,B1 & Below,30 & Below,235.63,335.38,429.72,2022Q3
08,B1 & Below,>30 - 100,48.51,115.86,173.97,2022Q3
08,B1 & Below,>100 - 300,161.65,168.19,199.82,2022Q3
08,Level 1,30 & Below,64.71,74.07,85.00,2022Q3
08,Level 1,>30 - 100,71.94,86.15,96.69,2022Q3
08,Level 2 & 3,30 & Below,45.22,100.00,164.68,2022Q3
08,Level 2 & 3,>30 - 100,50.98,57.23,93.75,2022Q3
08,Level 2 & 3,>100 - 300,76.65,87.99,110.27,2022Q3
08,B1 & Below,>30 - 100,48.48,52.50,95.35,2022Q4
08,Level 1,30 & Below,72.70,89.77,114.64,2022Q4
08,Level 1,>30 - 100,65.37,97.62,149.12,2022Q4
08,Level 1,>100 - 300,84.09,113.68,123.92,2022Q4
08,Level 1,>300,53.86,53.89,67.86,2022Q4
08,Level 2 & 3,30 & Below,42.84,62.94,104.55,2022Q4
08,Level 2 & 3,>30 - 100,41.46,54.55,60.53,2022Q4
08,Level 2 & 3,>100 - 300,88.09,89.17,92.29,2022Q4
08,Level 4 & Above,30 & Below,318.28,400.00,466.67,2022Q4
08,B1 & Below,>30 - 100,95.54,147.95,148.80,2023Q1
08,Level 1,30 & Below,78.50,84.62,101.78,2023Q1
08,Level 1,>30 - 100,64.24,75.36,80.04,2023Q1
08,Level 1,>100 - 300,60.90,76.59,91.48,2023Q1
08,Level 2 & 3,30 & Below,60.11,79.64,88.06,2023Q1
08,Level 2 & 3,>30 - 100,36.57,47.95,67.18,2023Q1
08,B1 & Below,30 & Below,211.63,371.41,400.61,2023Q2
08,B1 & Below,>100 - 300,132.43,153.78,195.14,2023Q2
08,Level 1,30 & Below,96.99,107.65,140.79,2023Q2
08,Level 1,>30 - 100,79.10,92.28,121.68,2023Q2
08,Level 1,>100 - 300,62.75,75.82,94.98,2023Q2
08,Level 2 & 3,30 & Below,63.33,75.33,77.51,2023Q2
08,Level 2 & 3,>30 - 100,41.19,48.57,93.07,2023Q2
08,Level 4 & Above,>30 - 100,70.65,75.00,98.12,2023Q2
08,B1 & Below,30 & Below,263.57,337.62,405.97,2023Q3
08,B1 & Below,>30 - 100,136.76,164.15,188.89,2023Q3
08,B1 & Below,>100 - 300,65.82,111.97,117.97,2023Q3
08,Level 1,30 & Below,86.36,132.12,161.82,2023Q3
08,Level 1,>30 - 100,72.86,83.70,97.00,2023Q3
08,Level 1,>100 - 300,79.86,121.02,190.69,2023Q3
08,Level 2 & 3,>30 - 100,46.68,52.94,140.62,2023Q3
08,B1 & Below,30 & Below,260.43,341.97,460.15,2023Q4
08,B1 & Below,>30 - 100,283.40,286.10,294.41,2023Q4
08,Level 1,30 & Below,128.40,269.98,314.13,2023Q4
08,Level 1,>30 - 100,76.92,88.24,151.35,2023Q4
08,Level 1,>100 - 300,30.20,67.57,74.31,2023Q4
08,Level 2 & 3,30 & Below,55.30,61.11,102.92,2023Q4
08,Level 2 & 3,>30 - 100,60.15,109.20,134.79,2023Q4
08,B1 & Below,30 & Below,75.00,89.29,299.49,2024Q1
08,B1 & Below,>100 - 300,86.41,122.62,156.59,2024Q1
08,Level 1,30 & Below,93.56,96.74,106.46,2024Q1
08,Level 1,>30 - 100,76.85,88.89,106.92,2024Q1
08,Level 1,>100 - 300,72.22,85.96,103.13,2024Q1
08,Level 2 & 3,30 & Below,83.11,123.86,142.24,2024Q1
08,Level 2 & 3,>30 - 100,42.86,51.00,68.75,2024Q1
08,Level 4 & Above,>30 - 100,63.08,66.29,67.82,2024Q1
08,B1 & Below,30 & Below,57.38,162.37,267.86,2024Q2
08,B1 & Below,>30 - 100,137.04,171.02,192.86,2024Q2
08,Level 1,30 & Below,88.64,99.74,127.54,2024Q2
08,Level 1,>30 - 100,62.67,74.29,89.29,2024Q2
08,Level 1,>100 - 300,151.50,157.09,240.04,2024Q2
08,Level 2 & 3,30 & Below,67.26,142.86,179.49,2024Q2
08,Level 2 & 3,>30 - 100,45.54,51.52,58.04,2024Q2
08,Level 2 & 3,>100 - 300,99.79,107.65,112.68,2024Q2
08,Level 4 & Above,>100 - 300,116.72,118.74,139.00,2024Q2
08,B1 & Below,30 & Below,253.48,460.36,504.00,2024Q3
08,B1 & Below,>30 - 100,74.83,100.35,168.92,2024Q3
08,Level 1,30 & Below,88.89,95.65,113.32,2024Q3
08,Level 1,>30 - 100,82.86,95.24,106.85,2024Q3
08,Level 1,>100 - 300,101.57,121.34,192.92,2024Q3
08,Level 2 & 3,30 & Below,70.33,120.48,138.07,2024Q3
08,Level 2 & 3,>30 - 100,52.91,57.39,65.39,2024Q3
08,Level 2 & 3,>100 - 300,61.66,85.88,102.28,2024Q3
08,Level 4 & Above,>100 - 300,104.84,110.89,116.51,2024Q3
08,B1 & Below,30 & Below,77.47,150.00,227.59,2024Q4
08,B1 & Below,>30 - 100,69.97,111.19,270.21,2024Q4
08,B1 & Below,>100 - 300,104.50,112.22,140.68,2024Q4
08,Level 1,30 & Below,80.56,91.04,109.05,2024Q4
08,Level 1,>30 - 100,69.96,77.10,84.73,2024Q4
08,Level 2 & 3,30 & Below,79.20,96.07,108.17,2024Q4
08,Level 2 & 3,>30 - 100,52.39,57.86,61.55,2024Q4
08,Level 2 & 3,>100 - 300,116.51,183.00,210.55,2024Q4
08,B1 & Below,30 & Below,82.14,203.17,317.40,2025Q1
08,B1 & Below,>30 - 100,59.40,67.68,75.35,2025Q1
08,Level 1,30 & Below,86.34,90.00,108.93,2025Q1
08,Level 1,>30 - 100,86.08,97.83,109.18,2025Q1
08,Level 1,>100 - 300,49.16,53.28,68.86,2025Q1
08,Level 2 & 3,30 & Below,68.97,76.92,97.76,2025Q1
08,Level 2 & 3,>30 - 100,101.54,116.32,131.11,2025Q1
08,Level 2 & 3,>100 - 300,24.66,32.82,90.69,2025Q1
08,B1 & Below,30 & Below,249.53,447.20,489.14,2025Q2
08,Level 1,30 & Below,84.60,93.22,103.82,2025Q2
08,Level 1,>30 - 100,74.08,91.01,178.32,2025Q2
08,Level 1,>100 - 300,53.37,62.99,106.86,2025Q2
08,Level 2 & 3,30 & Below,62.04,71.67,100.74,2025Q2
08,Level 2 & 3,>30 - 100,52.95,74.85,119.90,2025Q2
08,Level 2 & 3,>100 - 300,44.87,59.20,90.38,2025Q2
08,Level 2 & 3,>300,49.72,59.79,70.24,2025Q2
08,Level 4 & Above,>30 - 100,133.73,150.38,150.38,2025Q2
08,Level 4 & Above,>100 - 300,85.50,96.00,102.01,2025Q2
09,B1 & Below,30 & Below,110.39,187.50,317.38,2021Q1
09,B1 & Below,>30 - 100,136.68,264.52,409.70,2021Q1
09,B1 & Below,>100 - 300,110.12,249.59,294.56,2021Q1
09,Level 1,30 & Below,95.41,140.36,263.79,2021Q1
09,Level 1,>30 - 100,86.21,113.03,180.42,2021Q1
09,Level 1,>100 - 300,92.02,109.98,165.29,2021Q1
09,Level 1,>300,80.28,188.77,298.92,2021Q1
09,Level 2 & 3,30 & Below,76.86,95.67,137.38,2021Q1
09,Level 2 & 3,>30 - 100,80.87,96.24,118.92,2021Q1
09,Level 2 & 3,>100 - 300,75.35,105.88,193.33,2021Q1
09,Level 2 & 3,>300,65.66,69.97,78.48,2021Q1
09,Level 4 & Above,30 & Below,63.88,80.69,126.67,2021Q1
09,Level 4 & Above,>30 - 100,77.78,105.81,138.61,2021Q1
09,Level 4 & Above,>100 - 300,87.47,125.56,139.68,2021Q1
09,Level 4 & Above,>300,54.35,91.67,138.46,2021Q1
09,B1 & Below,30 & Below,160.98,340.31,500.00,2021Q2
09,B1 & Below,>30 - 100,86.92,293.08,381.26,2021Q2
09,B1 & Below,>100 - 300,122.11,217.97,277.60,2021Q2
09,B1 & Below,>300,68.34,113.94,130.71,2021Q2
09,Level 1,30 & Below,87.71,120.00,224.28,2021Q2
09,Level 1,>30 - 100,83.31,115.67,148.35,2021Q2
09,Level 1,>100 - 300,99.56,183.06,251.57,2021Q2
09,Level 1,>300,94.71,147.24,299.67,2021Q2
09,Level 2 & 3,30 & Below,82.61,102.48,145.83,2021Q2
09,Level 2 & 3,>30 - 100,82.45,100.43,149.25,2021Q2
